original,normalized
https://www.australianindustrygroup.com.au/news/media-centre/2026/invidious-choices-ahead-as-the-leading-edge-of-energy-crisis-inflation-arrives/,https://www.australianindustrygroup.com.au/news/media-centre/2026/invidious-choices-ahead-as-the-leading-edge-of-energy-crisis-inflation-arrives/
https://www.australianindustrygroup.com.au/news/speeches-transcripts/2026/opening-statement-inquiry-into-strengthening-australias-trade-and-investment-relations-with-africa/,https://www.australianindustrygroup.com.au/news/speeches-transcripts/2026/opening-statement-inquiry-into-strengthening-australias-trade-and-investment-relations-with-africa/
https://www.australianindustrygroup.com.au/news/media-centre/2026/australian-industry-group-welcomes-new-defence-secretary-meghan-quinn/,https://www.australianindustrygroup.com.au/news/media-centre/2026/australian-industry-group-welcomes-new-defence-secretary-meghan-quinn/
https://www.australianindustrygroup.com.au/news/media-centre/2026/declining-apprenticeship-commencements-risk-holding-australia-back/,https://www.australianindustrygroup.com.au/news/media-centre/2026/declining-apprenticeship-commencements-risk-holding-australia-back/
https://www.europarl.europa.eu/news/en/press-room/20260423IPR41840/parliament-sounds-the-alarm-over-the-state-of-fundamental-rights-in-the-eu,https://www.europarl.europa.eu/news/en/press-room/20260423IPR41840/parliament-sounds-the-alarm-over-the-state-of-fundamental-rights-in-the-eu
https://www.europarl.europa.eu/news/en/press-room/20260423IPR41839/rule-of-law-parliament-demands-stronger-action-as-threats-persist,https://www.europarl.europa.eu/news/en/press-room/20260423IPR41839/rule-of-law-parliament-demands-stronger-action-as-threats-persist
https://www.europarl.europa.eu/news/en/press-room/20260423IPR41842/discharge-meps-sign-off-on-the-management-of-the-eu-s-budget-in-2024,https://www.europarl.europa.eu/news/en/press-room/20260423IPR41842/discharge-meps-sign-off-on-the-management-of-the-eu-s-budget-in-2024
https://www.europarl.europa.eu/news/en/press-room/20260423IPR41841/eu-support-to-help-507-belgian-workers-find-a-new-job,https://www.europarl.europa.eu/news/en/press-room/20260423IPR41841/eu-support-to-help-507-belgian-workers-find-a-new-job
https://www.europarl.europa.eu/news/en/press-room/20260423IPR41836/proxy-voting-rights-approved-for-meps-during-pregnancy-and-after-giving-birth,https://www.europarl.europa.eu/news/en/press-room/20260423IPR41836/proxy-voting-rights-approved-for-meps-during-pregnancy-and-after-giving-birth
https://www.europarl.europa.eu/news/en/press-room/20260423IPR41822/ep-today,https://www.europarl.europa.eu/news/en/press-room/20260423IPR41822/ep-today
https://www.europarl.europa.eu/news/en/press-room/20260423IPR41834/parliament-endorses-renewed-eu-trade-instrument-for-development,https://www.europarl.europa.eu/news/en/press-room/20260423IPR41834/parliament-endorses-renewed-eu-trade-instrument-for-development
https://www.europarl.europa.eu/news/en/press-room/20260423IPR41832/rape-must-be-defined-based-on-the-absence-of-consent-in-all-eu-countries,https://www.europarl.europa.eu/news/en/press-room/20260423IPR41832/rape-must-be-defined-based-on-the-absence-of-consent-in-all-eu-countries
https://www.europarl.europa.eu/news/en/press-room/20260423IPR41833/first-eu-rules-to-protect-cats-and-dogs-from-abuses,https://www.europarl.europa.eu/news/en/press-room/20260423IPR41833/first-eu-rules-to-protect-cats-and-dogs-from-abuses
https://www.europarl.europa.eu/news/en/press-room/20260424IPR41915/parliament-s-2027-budget-priorities-social-cohesion-competitiveness-security,https://www.europarl.europa.eu/news/en/press-room/20260424IPR41915/parliament-s-2027-budget-priorities-social-cohesion-competitiveness-security
https://www.csiro.au/en/news/All/News/2026/April/New-AI-tools-find-smarter-ways-to-measure-pasture,https://www.csiro.au/en/news/All/News/2026/April/New-AI-tools-find-smarter-ways-to-measure-pasture
https://www.infrastructure.gov.au/department/media/news/48-million-safety-upgrades-victorian-roads,https://www.infrastructure.gov.au/department/media/news/48-million-safety-upgrades-victorian-roads
https://www.infrastructure.gov.au/department/media/news/consultation-opens-drone-security,https://www.infrastructure.gov.au/department/media/news/consultation-opens-drone-security
https://www.infrastructure.gov.au/department/media/news/applications-perth-hills-round-mobile-network-hardening-program-now-open,https://www.infrastructure.gov.au/department/media/news/applications-perth-hills-round-mobile-network-hardening-program-now-open
https://djsir.vic.gov.au/news-and-articles/more-first-peoples-economic-opportunities-in-shepparton,https://djsir.vic.gov.au/news-and-articles/more-first-peoples-economic-opportunities-in-shepparton
https://djsir.vic.gov.au/news-and-articles/victorias-tafes-leading-the-nation-in-clean-energy-training,https://djsir.vic.gov.au/news-and-articles/victorias-tafes-leading-the-nation-in-clean-energy-training
